100000015,Lí_ Nh¨Á Hàéñng,FALSE,23,Giíçm Ûïàéïc,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000016,Phà_çm Minh Híæ,FALSE,63,CíÇng nhí¢n,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000017,Nguyàéƒn íàé©c Bà_£o,TRUE,46,Bíçc sÛ©,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000018,D¨Á¨çng Cíçt T¨Áàéng,TRUE,59,Thanh tra,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000019,Ûàé„ Thàé«c Anh,FALSE,37,Kàé_ s¨Á,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000020,Phan Bà_£o Hiàé€n,TRUE,21,Thanh tra,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000021,Bí_i Trung Viàéˆt,TRUE,26,Kàé_ s¨Á,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000022,Hoíæng Làéˆ Thu,FALSE,22,Giíçm Ûïàéïc,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000023,Trà__n Lan Vy,FALSE,32,Nhí¢n viíÈn,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000024,Lí_ Bà_£o Thí_y,FALSE,59,Kàé_ s¨Á,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000025,Phà_çm Trung Hià_Ëu,TRUE,38,Nhí¢n viíÈn,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000026,Hoíæng LíÈ Quàé_nh,FALSE,31,CíÇng nhí¢n,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000027,Nguyàéƒn Kià_Ët Hàéñng,FALSE,40,Y tíç,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000028,Lí_ Thiàéˆn í‰n,TRUE,58,Y tíç,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000029,Nguyàéƒn Viàéˆt Long,TRUE,50,CíÇng nhí¢n,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000030,Bí_i íà_¿c Làé±c,TRUE,21,Bà_£o vàéˆ,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000031,D¨Á¨çng Chà_Ë Ph¨Á¨çng,TRUE,38,Sinh viíÈn,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000032,Bí_i Thàé_y Hàéñng,FALSE,63,Luà__t s¨Á,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000033,Ûà_‡ng Hà_£i Phong,TRUE,54,Sinh viíÈn,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000034,Ûà_‡ng ThiíÈn í‰n,TRUE,26,Giíçm Ûïàéïc,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000035,Phan íàé©c Bà_±ng,TRUE,47,CíÇng nhí¢n,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000036,D¨Á¨çng Hà_£i Thanh,FALSE,35,CíÇng nhí¢n,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000037,Hoíæng Tí_ S¨Á¨çng,FALSE,33,CíÇng nhí¢n,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000038,Lí_ T¨Áàéng Anh,TRUE,38,Nhí¢n viíÈn,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000039,V© Linh Ph¨Á¨çng,FALSE,55,Thanh tra,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000040,Lí_ Quàé_nh Híæ,FALSE,55,CíÇng nhí¢n,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000041,Ûàé„ Làé»c UyíÈn,FALSE,61,CíÇng nhí¢n,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000042,Lí_ Màé_ Ví¢n,FALSE,54,Giíçm Ûïàéïc,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000043,Trà__n Hàéñng Nhuà__n,TRUE,33,Thanh tra,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000044,LíÈ V© Hàéñng,FALSE,19,Nhí¢n viíÈn,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000045,V© Hà_çnh San,FALSE,29,Bíçc sÛ©,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000046,Phà_çm Hoíæng Nam,TRUE,42,Sinh viíÈn,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000047,Phan Khíçnh Huy,TRUE,52,Giíçm Ûïàéïc,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000048,Ûà_‡ng Thíçi Bíånh,TRUE,29,Bà_£o vàéˆ,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000049,Trà__n ían Khanh,FALSE,64,Kàé_ s¨Á,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000050,D¨Á¨çng Xuí¢n Ninh,TRUE,65,Kàé_ s¨Á,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000051,Hoíæng Linh Nhi,FALSE,67,Thanh tra,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000052,Hàéñ Tuà_«n Sàé_,TRUE,34,Giíçm Ûïàéïc,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000053,LíÈ Híçn Lí¢m,TRUE,37,Sinh viíÈn,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000054,LíÈ Quà_£ng íà_çi,TRUE,64,Nhí¢n viíÈn,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000055,Lí_ Trí_c Mai,FALSE,35,Luà__t s¨Á,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000056,D¨Á¨çng Thà_Ë Bíånh,TRUE,54,Luà__t s¨Á,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000057,V© Hàéñng Thàé_y,FALSE,66,Giíçm Ûïàéïc,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000058,V© Ph¨Á¨çng Lan,FALSE,37,Bà_£o vàéˆ,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000059,LíÈ ThíÇng Minh,TRUE,51,Y tíç,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000060,Ûà_‡ng Thíçi San,TRUE,27,Nhí¢n viíÈn,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000061,Hàéñ Thíçi NguyíÈn,TRUE,34,Giíçm Ûïàéïc,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000062,D¨Á¨çng Thy Khanh,FALSE,50,Luà__t s¨Á,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000063,Hàéñ Hà_£i D¨Á¨çng,FALSE,54,Bíçc sÛ©,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000064,Hàéñ Phí_ Thàé,TRUE,49,Giíçm Ûïàéïc,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000065,Phà_çm Mà_çnh ííånh,TRUE,58,Giíçm Ûïàéïc,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000066,Hoíæng íàé©c Phong,TRUE,58,Y tíç,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000067,Phà_çm Quàé_nh Dao,FALSE,54,Nhí¢n viíÈn,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000068,LíÈ Hoíæng Phíçt,TRUE,38,Y tíç,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000069,Bí_i Hí_a Hàé£p,TRUE,44,Kàé_ s¨Á,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000070,LíÈ Thàé«y UyíÈn,FALSE,58,Luà__t s¨Á,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000071,V© Duy Thanh,TRUE,64,CíÇng nhí¢n,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000072,LíÈ Thà_£o Linh,FALSE,18,Bíçc sÛ©,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000073,Lí_ Minh Khià_Ëu,TRUE,19,Bà_£o vàéˆ,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000074,Hoíæng Hí_a Thíçi,TRUE,63,CíÇng nhí¢n,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000075,Ûà_‡ng Ngàéc S¨çn,TRUE,33,Bíçc sÛ©,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000076,Hoíæng Thíçi Tí¢n,TRUE,58,Bà_£o vàéˆ,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000077,Lí_ V© Minh,TRUE,40,Luà__t s¨Á,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000078,Ûàé„ Kim Khanh,FALSE,37,Kàé_ s¨Á,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000079,Phan Ph¨Á¨çng Quàé_nh,FALSE,46,Bíçc sÛ©,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000080,Phà_çm Quà_£ng íà_çt,TRUE,19,Y tíç,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000081,Trà__n Khà_¿c Tuà_«n,TRUE,49,Luà__t s¨Á,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000082,Hoíæng ííånh Ch¨Á¨çng,TRUE,65,Luà__t s¨Á,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000083,Phà_çm Gia Cà_£nh,TRUE,50,Bíçc sÛ©,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000084,Bí_i CíÇng ín,TRUE,19,Bà_£o vàéˆ,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000085,Lí_ Sao Mai,FALSE,27,Giíçm Ûïàéïc,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000086,Lí_ Nhà__t Mai,FALSE,32,Bíçc sÛ©,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000087,Nguyàéƒn Tíæi NguyíÈn,TRUE,67,Sinh viíÈn,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
100000088,Hoíæng Mà_çnh NghiíÈm,TRUE,37,Bíçc sÛ©,http://vietnamnet.vn/,Wed Nov 28 09:54:54 ICT 2018
100000089,LíÈ Híæ Ph¨Á¨çng,FALSE,69,Luà__t s¨Á,tuoitre.vn,Wed Nov 28 09:54:54 ICT 2018
100000090,Hoíæng Minh S¨çn,TRUE,29,Nhí¢n viíÈn,http://kenh14.vn/,Wed Nov 28 09:54:54 ICT 2018
100000091,Hàéñ Tíæi íàé©c,TRUE,68,Luà__t s¨Á,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000092,Bí_i Hàé¿u Tí¢n,TRUE,31,Bà_£o vàéˆ,https://dantri.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000093,V© Chung Thàé_y,TRUE,37,Thanh tra,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000094,Hàéñ Hàéñng Thàé_y,FALSE,34,Thanh tra,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000095,Bí_i Quí¢n D¨Á¨çng,TRUE,58,Nhí¢n viíÈn,https://vtc.vn/,Wed Nov 28 09:54:54 ICT 2018
100000096,Hàéñ ChiíÈu Minh,TRUE,27,Luà__t s¨Á,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000097,Hoíæng Khíçnh Ví¢n,FALSE,24,Bà_£o vàéˆ,https://www.24h.com.vn/,Wed Nov 28 09:54:54 ICT 2018
100000098,Phà_çm Thanh Hà_±ng,FALSE,32,CíÇng nhí¢n,https://www.vietnamplus.vn/,Wed Nov 28 09:54:54 ICT 2018
100000099,Phà_çm Huàéˆ Linh,FALSE,29,Bà_£o vàéˆ,vnexpress.net,Wed Nov 28 09:54:54 ICT 2018
